"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"Enterobacteriaceae"	"acoa"	"acoa"	"acoa"	-1.17426542347236	-0.114223843791308	0.316165327356138	0.00980558570933798	0.144239972459642	0.00980558570933798	0.144239972459642	NA	"abundance"	147	123
"Ruminococcaceae"	"acoa"	"acoa"	"acoa"	0.543655809095213	-0.114223843791308	0.0868716955088461	0.0144239972459642	0.144239972459642	0.0144239972459642	0.144239972459642	NA	"abundance"	147	147
"Clostridiaceae"	"acoa"	"acoa"	"acoa"	0.50460747587519	-0.114223843791308	0.121376786208026	0.0276142774914514	0.184095183276343	0.0276142774914514	0.184095183276343	NA	"abundance"	147	147
"Bacteroidaceae"	"acoa"	"acoa"	"acoa"	-0.682309867437109	-0.114223843791308	0.103768388991422	0.0385686021673612	0.192843010836806	0.0385686021673612	0.192843010836806	NA	"abundance"	147	146
"Lachnospiraceae"	"acoa"	"acoa"	"acoa"	0.342338068207636	-0.114223843791308	0.0560264398343771	0.0779108356634491	0.291964449621011	0.0779108356634491	0.291964449621011	NA	"abundance"	147	147
"Akkermansiaceae"	"acoa"	"acoa"	"acoa"	-0.799411640966244	-0.114223843791308	0.324135182485479	0.0978058377445687	0.291964449621011	0.0978058377445687	0.291964449621011	NA	"abundance"	147	84
"FGB1062"	"acoa"	"acoa"	"acoa"	-3.09692589364502	-0.114223843791308	0.544041898365927	0.126161820596008	0.291964449621011	0.126161820596008	0.291964449621011	NA	"abundance"	147	3
"Bacilli_unclassified"	"acoa"	"acoa"	"acoa"	0.788464784914877	-0.114223843791308	0.529782325176583	0.129912109388421	0.291964449621011	0.129912109388421	0.291964449621011	NA	"abundance"	147	39
"Clostridia_unclassified"	"acoa"	"acoa"	"acoa"	0.336542919251049	-0.114223843791308	0.160318169991152	0.131384002329455	0.291964449621011	0.131384002329455	0.291964449621011	NA	"abundance"	147	146
"Veillonellaceae"	"acoa"	"acoa"	"acoa"	0.278072277941506	-0.114223843791308	0.325282290372521	0.327404233204027	0.654808466408054	0.327404233204027	0.654808466408054	NA	"abundance"	147	122
"Tannerellaceae"	"acoa"	"acoa"	"acoa"	-0.364382719751558	-0.114223843791308	0.113829511133508	0.364328803245622	0.662416005901131	0.364328803245622	0.662416005901131	NA	"abundance"	147	135
"Prevotellaceae"	"acoa"	"acoa"	"acoa"	0.35641376948014	-0.114223843791308	0.563053625648592	0.433765361525015	0.722942269208358	0.433765361525015	0.722942269208358	NA	"abundance"	147	77
"Pseudomonadaceae"	"acoa"	"acoa"	"acoa"	-0.891738428992881	-0.114223843791308	1.06806964538797	0.479416488090354	0.737563827831314	0.479416488090354	0.737563827831314	NA	"abundance"	147	19
"Coriobacteriaceae"	"acoa"	"acoa"	"acoa"	0.0700307287304492	-0.114223843791308	0.162227743034941	0.524855263468269	0.749793233526099	0.524855263468269	0.749793233526099	NA	"abundance"	147	113
"Bifidobacteriaceae"	"acoa"	"acoa"	"acoa"	0.0836176301680704	-0.114223843791308	0.354587091787352	0.632827135776323	0.84376951436843	0.632827135776323	0.84376951436843	NA	"abundance"	147	115
"Rikenellaceae"	"acoa"	"acoa"	"acoa"	-0.00360900207671878	-0.114223843791308	0.154610932718101	0.708792271610969	0.883934327136527	0.708792271610969	0.883934327136527	NA	"abundance"	147	135
"Acidaminococcaceae"	"acoa"	"acoa"	"acoa"	-0.206152712332447	-0.114223843791308	0.16492178242518	0.751344178066048	0.883934327136527	0.751344178066048	0.883934327136527	NA	"abundance"	147	110
"Odoribacteraceae"	"acoa"	"acoa"	"acoa"	-0.178763592000316	-0.114223843791308	0.112776266188234	0.810346609549277	0.900385121721419	0.810346609549277	0.900385121721419	NA	"abundance"	147	121
"Bacteroidales_unclassified"	"acoa"	"acoa"	"acoa"	-0.136658925084792	-0.114223843791308	0.145292545415912	0.935410988589578	0.984643145883767	0.935410988589578	0.984643145883767	NA	"abundance"	147	143
"Erysipelotrichaceae"	"acoa"	"acoa"	"acoa"	-0.114223843791308	-0.114223843791308	0.132396607892282	1	1	1	1	NA	"abundance"	147	147
