feature	Bacilli_unclassified	Methanobacteriaceae	Tannerellaceae	Eubacteriaceae	Eggerthellaceae	Desulfovibrionaceae	Streptococcaceae	FGB1798	Synergistaceae	FGB1298	FGB1425	FGB2916	Christensenellaceae	Enterobacteriaceae	FGB2950	FGB1218	FGB3048	FGB12277	FGB42691	Candidatus_Saccharibacteria_unclassified	Rikenellaceae	Oscillospiraceae	FGB9370	Candidatus_Borkfalkiaceae	Coriobacteriia_unclassified	Clostridiales_unclassified	FGB9501	FGB3053	Promicromonosporaceae	Candidatus_Sacchiramonaceaea	FGB12541	Candidatus_Gastranaerophilales_unclassified	Micrococcaceae	Bacteroidales_unclassified	Bacteroidaceae	Lachnospiraceae	Akkermansiaceae	Clostridia_unclassified	Coriobacteriaceae	Clostridiaceae	Bifidobacteriaceae	Sutterellaceae	Peptostreptococcaceae	Erysipelotrichaceae	Firmicutes_unclassified	FGB1217	Catabacteriaceae	FGB3608	Marinilabiliaceae	Ruminococcaceae	Veillonellaceae	Odoribacteraceae	Clostridiales_Family_XIII_Incertae_Sedis	Rhodobacteraceae	FGB3047	FGB1434	Flavobacteriales_unclassified	FGB3035	FGB3546	FGB9830	Porphyromonadaceae	FGB10719	Hafniaceae	FGB42358	Pasteurellaceae	FGB25373	Propionibacteriaceae	FGB1340	Alphaproteobacteria_unclassified	Barnesiellaceae	Phyllobacteriaceae	Peptococcaceae	Eukaryota_unclassified	Acidaminococcaceae	Victivallaceae	Methanomassiliicoccaceae	Leuconostocaceae	FGB11371	FGB3606	FGB4356	Kytococcaceae	Bacillales_unclassified	Peptoniphilaceae	FGB40183	FGB11875	Enterococcaceae	Candidatus_Nanogingivalaceae	FGB4549	Campylobacteraceae	Candidatus_Nanoperiomorbaceae	FGB2397	Actinomycetaceae	Lentisphaeria_unclassified	Oxalobacteraceae	FGB1538	FGB2394	Opitutales_unclassified	FGB602	FGB11481	FGB40382	FGB2882	Pseudomonadaceae	FGB9612	Puniceicoccaceae	Muribaculaceae	FGB25442	FGB618	Methanomassiliicoccales_unclassified	Prevotellaceae	FGB1424	Candidatus_Methanomethylophilaceae	FGB2164	FGB1456	FGB11737	FGB16911	Selenomonadales_unclassified	FGB12952	FGB8129	FGB4355	Pirellulaceae	Microbacteriaceae	FGB8157	FGB12855	FGB1302	Fusobacteriaceae	FGB1062	FGB4469	FGB2897	Corynebacteriaceae	FGB24517	Selenomonadaceae	Carnobacteriaceae	Aerococcaceae	FGB1872	FGB1788	FGB41366	Bacillaceae	FGB2395	Lactobacillaceae	Alcaligenaceae	Tissierellaceae	FGB12479	FGB1192	FGB343	FGB9475	FGB6128	FGB9736	FGB9860	FGB11478	Atopobiaceae	Acholeplasmatales_unclassified	FGB3011	FGB1470	Staphylococcaceae	Prochloraceae	FGB14246	Bacteria_unclassified	Thermofilaceae	FGB636	Yersiniaceae	FGB9158	FGB8972	FGB1677	Neisseriaceae	Lactobacillales_unclassified	Coriobacteriales_unclassified	Brachyspiraceae	Succinivibrionaceae	FGB544	Actinobacteria_unclassified	FGB637	FGB9732	Morganellaceae	Aeromonadaceae	Moraxellaceae	Tissierellia_unclassified	Leptotrichiaceae	FGB41715	Elusimicrobiales_unclassified	FGB20074	FGB9572	FGB9659
SGP027388	0.0237551028924831	0.00203289759960285	0.00264985256982339	0.00338211302241208	0.00336016042350693	0.00283905789009008	0.00121641306705628	0.00073780294043108	0.000643471970878247	0.000600218830461165	0.000548271591467786	0.000528383840974504	0.000484587319396403	0.000260822957288937	0.000253650325963491	0.000243978141297359	0.00037123800920792	0.000170621684559846	0.000168882864844586	0.000195943246663314	0.036655949741155	0.00543576778236585	0.000124216933408856	9.88953713053885e-05	7.49866002205693e-05	0.0105133387033882	4.81435708662496e-05	4.04275583797852e-05	2.96686113916165e-05	2.95599351594128e-05	2.2822008762782e-06	1.30411478644468e-06	6.52057393222342e-07	0.110703261286787	0.0544815687283707	0.31610307897154	0.00248803366007205	0.0961537959955851	0.00269473585372353	0.0212714162816992	NA	0.00305456285855006	0.0022443815474713	0.00645949788972492	0.00250879082042296	NA	NA	NA	NA	0.248937037772815	0.00018007651676157	0.00612140613133914	1.04329182915575e-05	NA	NA	NA	NA	0.00079268443769396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00301956911178046	0.00835546343675108	NA	NA	NA	0.0065201392272946	NA	NA	2.33653899238006e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.78157555323809e-05	NA	NA	NA	NA	0.00229904569226977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00579374729124491	0.00219982429226777	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.76037629797458e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SGP027389	NA	NA	NA	1.30575942501816e-05	0.00578509718114521	0.00646199354022159	0.00132091556120141	NA	NA	NA	NA	NA	0.000601698606474888	0.102000096999272	NA	NA	0.000283186575300814	NA	NA	NA	0.131357416200557	0.0103247097250164	NA	0.00163126659596912	NA	0.0112094783211291	NA	0.000109823694497063	NA	NA	NA	NA	NA	0.0694378379235441	0.228108243725593	0.101311891830889	0.0304936796580403	0.0478402272767548	NA	0.010823812948097	0.0126503605295041	0.0085151836503997	0.000208571751014062	0.00916235066542433	0.00645441547212996	0.000412713246836098	NA	0.000348474546551723	3.9405954076441e-05	0.171117324349708	0.0150521417718969	0.0139815356290449	0.00090353888784739	0.00085095875385782	0.000112038822093076	5.82928314740252e-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00107596908334756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SGP027392	NA	NA	0.0109160385762898	0.000846681851981029	0.00151478113407092	0.000598445942974269	0.0118979358677875	NA	NA	NA	NA	0.000652245732070913	5.73796229718963e-05	0.037326620974349	NA	NA	1.17623113043994e-05	NA	NA	NA	0.271220897229106	0.0158165243086062	NA	0.000288023205505989	NA	0.00554639004437971	NA	0.000102485529800071	NA	NA	NA	NA	2.25018129301554e-06	0.093026585891977	0.0892282798693667	0.108444828111719	0.0480693955910766	0.0797648355986863	0.00293617974448169	0.0131806414857743	0.000835021821644494	0.00444564226822366	8.79616323633347e-05	0.00213511520416815	0.00116273004268185	NA	1.35010877580932e-05	2.00470697014112e-05	4.63332784425472e-05	0.175722998591591	8.08019646128307e-06	NA	0.000734070506362388	NA	1.42170545331436e-05	NA	0.00352439759066952	0.00351048737903997	0.000104633430125223	9.02118136563503e-05	7.98814359020517e-05	3.62074626239773e-05	2.9559199712795e-05	2.68998945483221e-05	1.4933021308194e-05	1.08417825936203e-05	NA	NA	NA	NA	NA	NA	NA	0.0119825222282113	NA	NA	NA	NA	NA	NA	NA	7.26194871836833e-06	1.21714351758568e-05	NA	NA	1.4319335501008e-06	NA	NA	NA	NA	NA	0.000123555409180126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00377007647547967	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SGP027394	NA	0.000631355080270298	0.00570963196425058	0.00309375778342602	0.00148991653809501	0.0104684266729999	0.000256035866027116	0.000765428277591321	0.000328591864897086	NA	NA	6.61256296939016e-05	0.00010084962324467	0.164234308077272	NA	NA	0.000782040064629497	NA	0.000302227351275206	NA	0.0342543622552762	0.0144466817365941	NA	6.00167789766368e-05	4.07256714484321e-06	0.00476629680612137	NA	NA	NA	NA	NA	NA	NA	0.0516712315142962	0.0304979549282564	0.127795656585705	NA	0.0174623105345309	0.00359982783758259	0.145145971523753	9.04538597433597e-05	0.0117125959357495	0.000117675755922048	0.00359554092479855	8.11298244380608e-05	0.00054293750409936	NA	5.89450507806254e-06	NA	0.189899840569714	0.0263027820777895	0.00298004742182922	0.000162795512974127	NA	0.000165153315005352	6.5696938415497e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0144720816948395	0.00162066737800839	0.000948586626289664	0.000790613890197588	0.000288080539087856	0.000202770974685351	0.000544652269212978	3.42953022723639e-05	NA	1.14674916973217e-05	NA	NA	NA	NA	NA	NA	NA	NA	2.14345639202274e-06	NA	NA	NA	NA	NA	NA	NA	0.000539079282593719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.126854464883968	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.54742032879764e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SGP027396	0.000252617040039857	NA	0.022784384051065	0.00478087507211854	0.00179954787684021	NA	0.0424692183627271	NA	NA	NA	NA	5.24194299420453e-06	NA	0.00766907413122323	NA	NA	NA	NA	NA	1.00377631803917e-05	0.15634318041619	0.00901179225265362	NA	NA	NA	0.00642483761966268	NA	NA	5.30886141540714e-05	0.000108853965156247	NA	NA	5.81074957442672e-05	0.10108841696779	0.136561314393784	0.178603035575729	0.0181362305143316	0.093161483853533	0.00345444043318079	0.0286490029545598	0.00467146345345227	0.00649342900139536	0.00529079344168244	0.00300508323480525	NA	NA	NA	NA	5.43154518761193e-05	0.130389651467672	0.011226122810248	0.00883456996716871	0.00018402565830718	NA	0.000635055817212779	NA	NA	NA	NA	NA	NA	NA	NA	0.000251390202317809	0.000923362681894028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00430530815877198	0.00295522901100931	0.000171868811788706	4.03741141255753e-05	3.73627851714578e-05	3.0113289541175e-05	2.07447105728094e-05	7.47255703429156e-06	3.68051316614361e-06	1.33836842405222e-06	5.79959650422629e-05	NA	NA	9.71432414457903e-05	NA	NA	0.000737329470950769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.14174124631767e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0080500630092701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.17897677495814e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SGP027400	NA	NA	NA	0.00283509783271437	0.00119106479685162	NA	0.000563272545867746	NA	NA	NA	NA	NA	9.57818302754836e-05	0.00113896125491935	NA	NA	NA	NA	NA	NA	0.00587617094396098	0.00556931433955989	NA	NA	NA	0.00095826173715426	NA	0.00078266171498254	NA	NA	NA	NA	NA	0.249312011529294	0.351252147885372	0.176173826284574	2.76037913641151e-05	0.0161125214788537	NA	0.026813812981542	0.00440197328307743	NA	0.000358294994734217	0.0103888919682944	NA	NA	NA	NA	NA	0.128484230364171	4.1017681946677e-05	NA	NA	NA	0.000230253311900671	NA	NA	NA	NA	NA	NA	NA	NA	0.000180810376364947	0.000394878332686658	NA	NA	NA	NA	NA	NA	NA	NA	0.0131644587328862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00365268000665152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SGP027404	NA	NA	0.0538604519233765	NA	0.0013473251727402	NA	0.032698743893254	NA	NA	NA	NA	NA	NA	0.0135451305583879	NA	NA	NA	NA	NA	0.000105185912608664	NA	NA	NA	NA	NA	0.00671051740939668	NA	0.000588568364933875	3.68526741826066e-05	4.00759401460999e-05	NA	NA	NA	0.452333805720867	0.255780336573432	0.115417095987786	0.00133228326491056	0.00170822351845266	0.00211156153268445	0.0239869006471244	0.0231562650083321	NA	0.000266671537379678	0.00293338691117646	NA	NA	NA	NA	NA	0.00996848720309691	0.00118078976462638	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.02908245436661e-05	6.2746244089336e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.86713160487487e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000337583388576531	NA	NA	NA	0.000395064964925494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.98374292090213e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SGP027415	0.000295118868016297	0.00204628627507488	0.0705429550796582	0.00246027088662026	0.00429712163079255	0.00592715052675934	0.00165957487428186	NA	NA	NA	NA	NA	0.00108956476955728	0.00253390855565167	NA	NA	NA	NA	NA	0.000103297285724611	0.0892090814337163	0.00232731398420245	NA	2.32958675176515e-05	0.00191946584507634	0.00638534046739919	NA	NA	NA	4.96599712449448e-05	NA	NA	7.04557944436288e-06	0.00928539187740146	0.205930241490645	0.046848785046644	0.190723040090256	0.0866821048191309	NA	0.0206808211600115	0.000683762121237604	0.0144269602961143	9.43198538519547e-05	0.00717876362353696	3.73870264063772e-05	0.00032171024849986	0.0208225282175457	0.000197617139576565	1.6818479963963e-05	0.156177882244276	0.00472315191042023	0.00367086052889119	0.00051455457619476	0.000608419876534175	0.000647170563478171	NA	NA	NA	NA	NA	NA	NA	0.000584555817125849	NA	0.000894220397543411	NA	NA	NA	NA	0.00659659421235195	NA	NA	NA	0.0269236591012295	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000485917704904769	NA	NA	NA	NA	NA	2.19322069800328e-05	0.00139820660457163	0.000718762741703148	5.85237647394658e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.00001772758699e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00115888418021956	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SGP036366	NA	0.00434685396373078	0.0269121651450872	0.00169470837121597	0.00011498829013097	0.00702010355790653	0.00187300866632976	0.000181608489968755	0.00197248266334782	6.92439405848204e-05	NA	0.000236592969971858	4.57443495461499e-05	0.0616976058936062	NA	NA	2.14462287149032e-05	NA	NA	NA	0.0277417235238892	8.01952063115795e-05	NA	2.1104001660942e-05	0.000513340580941832	0.0107993169148003	NA	NA	NA	NA	NA	0.000448089289319892	2.05336232376733e-06	0.031732433200131	0.122158403214196	0.0358304880956319	0.114118691186855	0.251091076885871	0.00229520277523326	0.00417402930148036	0.00863130852795596	0.00159694550946771	0.000432803147576291	0.00160595748855536	0.000443412186249089	NA	NA	0.000118182409301275	NA	0.18139243062202	0.000152861417436012	0.00471566065221632	0.000883059874904604	NA	NA	0.00031199699752798	NA	0.000182749246815292	NA	NA	0.0564665512981243	NA	NA	NA	1.02668116188366e-05	NA	NA	NA	0.0070344770941729	NA	NA	NA	NA	0.00929043783388527	0.000202940642999004	NA	NA	NA	NA	NA	NA	7.14113785932415e-05	0.000471360728989255	NA	NA	7.18676813318564e-06	NA	NA	NA	NA	NA	NA	0.000907357995735851	0.000175562478682106	NA	NA	NA	0.00693374826462365	NA	0.000187084122832134	NA	0.000916712201877458	0.00179737648740433	0.000639508288168868	0.00026716525345906	6.44527618293633e-05	5.24748149407206e-06	NA	0.0063405547044242	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000550529254138951	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SGP036367	0.166366775786366	0.00112309371325575	0.00376883382843212	0.00425333467834589	0.000653162460765494	0.000699834560986544	0.000147548041704114	0.00847715974835095	NA	NA	0.000450299337317912	0.00012816306886098	NA	NA	6.9020381014728e-05	NA	8.19848532983531e-05	NA	0.000245831088730453	6.9143852179334e-06	0.0759944028051661	0.00234224799257494	NA	6.54397172411554e-05	0.000857136824694529	0.00179786362782729	NA	NA	NA	NA	NA	0.00238904356396059	NA	0.0183127492496966	0.0283675000682178	0.22307732863221	6.9143852179334e-05	0.105012595910857	0.000869730883484336	0.0447052045688776	NA	0.00266895269412229	9.54432102404021e-05	0.00114457769589719	0.000333125202106863	0.00033349561560068	NA	4.71659848794742e-05	NA	0.131743979576882	0.00747741372853654	0.00528888733589602	NA	NA	0.000104333134092031	0.000141868368132241	9.53197390757961e-05	NA	NA	5.19813602991064e-05	NA	NA	NA	NA	7.06255061546054e-05	NA	NA	5.23517737929243e-05	0.000330902721143955	0.00332804177078887	NA	0.000345595789732064	NA	0.00874027680012624	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.58112950680554e-05	NA	NA	NA	NA	NA	NA	0.00100703081852616	0.000940603331968154	NA	NA	NA	NA	NA	NA	2.53115887442205e-05	NA	NA	0.00148523463904501	NA	NA	NA	0.00529197411501117	0.134615178038628	0.00228927886295898	0.000689216040830432	0.000494995898905268	0.000172365745789911	0.000125693645568861	6.06243418215232e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
