feature	Bacilli_unclassified	Tannerellaceae	Enterobacteriaceae	Rikenellaceae	Bacteroidales_unclassified	Bacteroidaceae	Lachnospiraceae	Akkermansiaceae	Clostridia_unclassified	Coriobacteriaceae	Clostridiaceae	Bifidobacteriaceae	Erysipelotrichaceae	Ruminococcaceae	Veillonellaceae	Odoribacteraceae	Acidaminococcaceae	Pseudomonadaceae	Prevotellaceae	FGB1062
SGP027388	-5.39561873414558	-8.55987219015662	-11.9046415202977	-4.76980880409229	-3.17523037075372	-4.19808794523426	-1.66153300714467	-8.65077828115075	-3.3785123758299	-8.53564042214811	-5.55494009655321	NA	-7.27436225908613	-2.00614719909674	-12.4391023235722	-7.35192119617263	-7.26088151339854	NA	-7.43128752542807	NA
SGP027389	NA	NA	-3.29335757072685	-2.92843044018111	-3.84813416229103	-2.13220950896891	-3.30312456952894	-5.03534593958779	-4.38563194634514	NA	-6.52964737709049	-6.30467768811871	-6.77006650530458	-2.54694226557931	-6.0538874068528	-6.16033336534612	-9.86014766024521	NA	NA	NA
SGP027392	NA	-6.51740679168766	-4.74365127647785	-1.8824597542917	-3.42621310954071	-3.48635516167861	-3.20496684441747	-4.37873752616242	-3.64810331661362	-8.41184399613529	-6.24543560350886	-10.2258984794874	-8.87147036938397	-2.50862507153966	-16.917178198343	NA	-6.3829245735399	NA	NA	NA
SGP027394	NA	-7.45238653039845	-2.60617256142093	-4.8675684643787	-4.27449492090657	-5.03514368525599	-2.96808929090877	NA	-5.83961172724668	-8.11785637360855	-2.78442356386909	-13.4324584092487	-8.11957545396434	-2.39668940061312	-5.24864078654778	-8.39044899602382	-10.8423769379025	NA	-2.97875379619818	NA
SGP027396	-11.9507604215331	-5.45581082024431	-7.02673186950496	-2.67721180363411	-3.30631039676096	-2.87237924549615	-2.48517149386365	-5.78498155658683	-3.42412257114603	-8.17733224978097	-5.12537125873467	-7.74190970340123	-8.37837933340026	-2.93909872201097	-6.47699644264652	-6.8226243730128	NA	NA	NA	NA
SGP027400	NA	NA	-9.77806561425035	-7.41090791864919	-2.00397570320798	-1.50942104753501	-2.50492849239019	-15.1447740405292	-5.95567390799679	NA	-5.22087980154644	-7.82763389556362	-6.58881439858273	-2.96033679516875	-14.573394512081	NA	-6.24720798471691	NA	NA	NA
SGP027404	NA	-4.21462985475729	-6.20608189036319	NA	-1.14454027330824	-1.9670227353527	-3.11507115799213	-9.55188342940436	-9.19328752289748	-8.8874739955597	-5.38160943105492	-5.43245361729814	-8.41321691079831	-6.64840970382876	-9.72603216372937	NA	NA	NA	NA	NA
SGP027415	-11.7264162191206	-3.82535417752812	-8.62441982359628	-3.48666560661918	-6.75082148622423	-2.27977238514604	-4.41584455554895	-2.39044895749719	-3.5281220043259	NA	-5.59556271882418	-10.5142178763691	-7.12204889016597	-2.67873793997254	-7.72603434712291	-8.08966598310925	-5.21498169481689	NA	-16.6096148991617	NA
SGP036366	NA	-5.21559772601956	-4.01864168147677	-5.1717987682947	-4.97789804036998	-3.03317498561324	-4.80266849318808	-3.13139298885108	-1.9937173349408	-8.76716266701414	-7.90434355648058	-6.85620499250147	-9.28235058101116	-2.46281384040967	-12.6754880663619	-7.72832438164967	-6.7500376960315	-10.0912435029737	-7.30117522437389	NA
SGP036367	-2.58756074550746	-8.05166609809227	NA	-3.71796302572636	-5.77100779398842	-5.13961717339229	-2.16438419507437	-13.8200394923984	-3.25136571015552	-10.1671433155122	-4.48341339038811	NA	-9.77096888583052	-2.9241910596513	-7.06324492447032	-7.56282004130691	-6.83810531479366	NA	-2.89308701000199	NA
