feature	Bacilli_unclassified	Tannerellaceae	Enterobacteriaceae	Rikenellaceae	Bacteroidales_unclassified	Bacteroidaceae	Lachnospiraceae	Akkermansiaceae	Clostridia_unclassified	Coriobacteriaceae	Clostridiaceae	Bifidobacteriaceae	Erysipelotrichaceae	Ruminococcaceae	Veillonellaceae	Odoribacteraceae	Acidaminococcaceae	Pseudomonadaceae	Prevotellaceae	FGB1062
SGP027388	0.0237551028924831	0.00264985256982339	0.000260822957288937	0.036655949741155	0.110703261286787	0.0544815687283707	0.31610307897154	0.00248803366007205	0.0961537959955851	0.00269473585372353	0.0212714162816992	NA	0.00645949788972492	0.248937037772815	0.00018007651676157	0.00612140613133914	0.0065201392272946	NA	0.00579374729124491	NA
SGP027389	NA	NA	0.102000096999272	0.131357416200557	0.0694378379235441	0.228108243725593	0.101311891830889	0.0304936796580403	0.0478402272767548	NA	0.010823812948097	0.0126503605295041	0.00916235066542433	0.171117324349708	0.0150521417718969	0.0139815356290449	0.00107596908334756	NA	NA	NA
SGP027392	NA	0.0109160385762898	0.037326620974349	0.271220897229106	0.093026585891977	0.0892282798693667	0.108444828111719	0.0480693955910766	0.0797648355986863	0.00293617974448169	0.0131806414857743	0.000835021821644494	0.00213511520416815	0.175722998591591	8.08019646128307e-06	NA	0.0119825222282113	NA	NA	NA
SGP027394	NA	0.00570963196425058	0.164234308077272	0.0342543622552762	0.0516712315142962	0.0304979549282564	0.127795656585705	NA	0.0174623105345309	0.00359982783758259	0.145145971523753	9.04538597433597e-05	0.00359554092479855	0.189899840569714	0.0263027820777895	0.00298004742182922	0.000544652269212978	NA	0.126854464883968	NA
SGP027396	0.000252617040039857	0.022784384051065	0.00766907413122323	0.15634318041619	0.10108841696779	0.136561314393784	0.178603035575729	0.0181362305143316	0.093161483853533	0.00345444043318079	0.0286490029545598	0.00467146345345227	0.00300508323480525	0.130389651467672	0.011226122810248	0.00883456996716871	NA	NA	NA	NA
SGP027400	NA	NA	0.00113896125491935	0.00587617094396098	0.249312011529294	0.351252147885372	0.176173826284574	2.76037913641151e-05	0.0161125214788537	NA	0.026813812981542	0.00440197328307743	0.0103888919682944	0.128484230364171	4.1017681946677e-05	NA	0.0131644587328862	NA	NA	NA
SGP027404	NA	0.0538604519233765	0.0135451305583879	NA	0.452333805720867	0.255780336573432	0.115417095987786	0.00133228326491056	0.00170822351845266	0.00211156153268445	0.0239869006471244	0.0231562650083321	0.00293338691117646	0.00996848720309691	0.00118078976462638	NA	NA	NA	NA	NA
SGP027415	0.000295118868016297	0.0705429550796582	0.00253390855565167	0.0892090814337163	0.00928539187740146	0.205930241490645	0.046848785046644	0.190723040090256	0.0866821048191309	NA	0.0206808211600115	0.000683762121237604	0.00717876362353696	0.156177882244276	0.00472315191042023	0.00367086052889119	0.0269236591012295	NA	1.00001772758699e-05	NA
SGP036366	NA	0.0269121651450872	0.0616976058936062	0.0277417235238892	0.031732433200131	0.122158403214196	0.0358304880956319	0.114118691186855	0.251091076885871	0.00229520277523326	0.00417402930148036	0.00863130852795596	0.00160595748855536	0.18139243062202	0.000152861417436012	0.00471566065221632	0.00929043783388527	0.000916712201877458	0.0063405547044242	NA
SGP036367	0.166366775786366	0.00376883382843212	NA	0.0759944028051661	0.0183127492496966	0.0283675000682178	0.22307732863221	6.9143852179334e-05	0.105012595910857	0.000869730883484336	0.0447052045688776	NA	0.00114457769589719	0.131743979576882	0.00747741372853654	0.00528888733589602	0.00874027680012624	NA	0.134615178038628	NA
