feature	Acidaminococcaceae	Methanobacteriaceae	Peptostreptococcaceae	Eubacteriaceae	Bacteroidales_unclassified	Bacteroidaceae	Clostridia_unclassified	Coriobacteriaceae	Ruminococcaceae	Streptococcaceae	Odoribacteraceae	Clostridiales_Family_XIII_Incertae_Sedis	Bifidobacteriaceae	Prevotellaceae	Lachnospiraceae	Peptococcaceae	FGB42691	Phyllobacteriaceae	FGB40183	Enterobacteriaceae	Selenomonadaceae	Rikenellaceae	Akkermansiaceae	Oscillospiraceae	Tannerellaceae	Clostridiaceae	Clostridiales_unclassified	FGB3035	Oxalobacteraceae	FGB3053	Flavobacteriaceae	Lentisphaeria_unclassified	FGB3608	Barnesiellaceae	Desulfovibrionaceae	Alphaproteobacteria_unclassified	Candidatus_Gastranaerophilales_unclassified	Christensenellaceae	Firmicutes_unclassified	Eggerthellaceae	Bacilli_unclassified	Coriobacteriia_unclassified	FGB1298	Candidatus_Borkfalkiaceae	FGB2882	FGB1217	FGB2916	Erysipelotrichaceae	FGB1340	Sutterellaceae	Opitutales_unclassified	FGB1434	FGB9370	Candidatus_Saccharibacteria_unclassified	FGB12277	Micrococcaceae	FGB6128	FGB40382	Flavobacteriales_unclassified	Pasteurellaceae	Bacillales_unclassified	FGB9823	Porphyromonadaceae	FGB2395	Veillonellaceae	Bacteria_unclassified	FGB42358	FGB3606	Marinilabiliaceae	Enterococcaceae	Morganellaceae	Yersiniaceae	Synergistaceae	FGB9612	Rhodobacteraceae	FGB2897	FGB618	Campylobacteraceae	Candidatus_Sacchiramonaceaea	FGB3047	FGB3048	FGB1677	Victivallaceae	FGB3546	FGB24517	FGB12952	FGB41366	Dysgonomonadaceae	Selenomonadales_unclassified	FGB9659	FGB4549	Fusobacteriaceae	Budviciaceae	Lactobacillaceae	Leuconostocaceae	Promicromonosporaceae	Burkholderiaceae	Carnobacteriaceae	Aerococcaceae	Kytococcaceae	Xanthomonadaceae	FGB1424	FGB1425	Catabacteriaceae	Elusimicrobiales_unclassified	Microbacteriaceae	FGB1538	Bacillaceae	FGB10719	FGB2950	Methanomassiliicoccaceae	Staphylococcaceae	FGB9830	Pseudomonadaceae	Peptoniphilaceae	FGB602	FGB2397	FGB20164	FGB1798	FGB12479	FGB4425	Candidatus_Methanomethylophilaceae	Puniceicoccaceae	FGB1218	FGB2164	FGB11737	FGB9475	FGB1456	Listeriaceae	Acholeplasmatales_unclassified	Pirellulaceae	FGB14246	Tropherymataceae	FGB1302	FGB12541	Coriobacteriales_unclassified	Actinomycetaceae	FGB25373	FGB343	FGB637	Propionibacteriaceae	FGB11875	Comamonadaceae	FGB636	FGB1062	Hafniaceae	FGB9501	FGB9736	Atopobiaceae	FGB25442	FGB2801	Muribaculaceae	Lawsonellaceae	FGB11371	FGB16911	Neisseriaceae	Corynebacteriaceae	FGB3011	FGB2394	Saccharomycetaceae	Tissierellaceae	Tissierellia_unclassified	Aeromonadaceae	Enterobacterales_unclassified
SRR16554624	0.129788393025472	0.098534690443669	0.0926280711402424	0.0619522507598909	0.0374319376975176	0.0131750435367732	0.011430219326974	0.00505823905023141	0.0549394211043623	0.0064431443647357	0.00254290523849657	0.00221018518311526	0.00195011956311957	0.000946743181101799	0.358383092306901	0.000709777945690251	0.000304403454923325	0.000263791488477007	8.9793430399659e-05	6.48301115748575e-05	2.42181451285387e-05	0.0283691352035703	NA	NA	0.0305342373780616	0.00408392444236789	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000658360960648122	NA	0.00127499219430553	NA	NA	NA	NA	NA	NA	NA	0.0537631644248116	NA	NA	0.000820436239585266	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000358428547902373	NA	NA	NA	NA	NA	NA	NA	0.000506718113458657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000759331996491722	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16554625	0.0455581767111871	NA	NA	0.00122686254479719	0.239376287423723	0.160771016936278	0.0644469873460384	0.0026404354404545	0.247180354539019	NA	0.0096480845007429	NA	0.00219924579657019	NA	0.0595109188851509	0.000450551758343399	NA	NA	NA	NA	NA	0.071225158214415	0.0257145367891735	0.0148407600079408	0.013626132044539	0.0289687226650195	0.0097329818568605	0.000955999551469607	0.000658220479072163	0.000156177091203804	0.00012394162891855	8.90464750256022e-05	7.65991183015933e-05	NA	8.83017613754478e-05	NA	NA	NA	5.02149775532667e-05	0.000428955062488922	NA	NA	NA	NA	NA	NA	NA	0.000255330394338644	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16554626	0.00661027069733319	NA	NA	0.00121466486080059	0.13723378828544	0.15745662518818	0.0490600533460806	NA	0.241589361324258	NA	0.00922217879070045	NA	NA	NA	0.111732361684435	0.000317333658654796	NA	NA	NA	NA	NA	0.107748003671485	0.0445174827089983	0.00680125182370896	0.0229418023140979	0.0437476451539551	0.00919541446120293	0.000777929096519226	NA	0.000832080181781666	NA	NA	0.000273348869092967	0.0169405757194003	0.00870857338239712	0.00286606548588254	0.00762773016908417	0.00159901308091044	0.00154340966769077	0.00239188040784689	0.00041920409108337	0.000316192543831258	0.00022811922699637	0.000154880402867476	8.37163329631972e-05	2.82166574547579e-05	2.53120015402975e-05	0.0010749301637728	NA	0.00472058454955426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16554627	0.0111672282882004	0.000185844661007909	0.000191797404794197	0.00825074099754652	0.0574871944575669	0.0600854480654059	0.162805280512336	0.00132710469971503	0.220173777258804	0.000435383680529099	0.0107560127474437	NA	0.00134448671157099	0.000194297557184438	0.153828780992365	0.000599441299279194	NA	NA	0.000112625912436568	0.000132508076682769	NA	0.114060523689063	0.0256102514819951	0.0180563386720714	0.0187032828667652	0.020514107526554	0.010656006651834	0.000770404100821383	NA	0.000605513097941208	NA	2.29775910150714e-05	0.000114292680696728	0.0212198648298563	0.00298601533807775	0.0019772633760534	0.00382178056567257	0.000473124076134164	0.00579690095396291	0.00402274519589765	0.0168388835128998	0.00112352086222398	6.40515231404581e-05	0.000627181085323296	NA	0.000389428498498956	8.94102116700446e-05	0.00773213795888511	0.0275245348287896	0.00427418909343046	0.000934223609820027	0.000179296642842992	0.000162628960241386	9.70297237164932e-05	7.13138705597293e-05	1.98821642462017e-05	7.7385669221743e-06	5.83368891056217e-06	NA	NA	NA	NA	0.000577297092394203	NA	NA	NA	NA	NA	NA	0.000504078343822862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00028799374438061	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16554628	0.0128771174337833	NA	NA	0.000645535368282042	0.0840717670310535	0.287491718052875	0.0347670448051367	0.000184970061000669	0.153465522865613	0.00359840598865652	0.00817238533377909	0.000975911510142469	NA	6.98850931263953e-06	0.099278650577465	NA	NA	NA	NA	0.000861841003297449	NA	0.112905003840299	0.00189163166588253	0.0191422033146725	0.0474125269705736	0.0150499802405535	0.013828118289763	0.00105503947042429	NA	0.000333983114408886	NA	0.000604167901866901	0.00032631829774341	NA	0.00725441082019625	0.0221000335223011	NA	0.000317639020048681	0.000584554988634655	0.00168547064115966	0.00747466158143653	NA	NA	0.000928569995443943	NA	0.000466539355564758	4.84686936199193e-06	0.00524532711070453	0.039069824901772	0.0140413805416906	NA	NA	NA	NA	NA	NA	NA	NA	0.00088235565966681	0.000244372390158105	9.47957472891911e-05	4.13674664151404e-05	0.00034367685313287	NA	0.000118917376207011	NA	NA	NA	NA	4.56507463164356e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00010877276591447	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16554629	NA	NA	NA	NA	0.136567013656701	0.464284046428405	NA	NA	0.0421832042183204	NA	0.0139928013992801	NA	NA	NA	0.0352227035222704	NA	NA	NA	NA	NA	NA	0.141608414160841	0.0259213025921303	NA	0.113977311397731	NA	NA	NA	NA	NA	NA	NA	NA	0.0168311016831102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00941210094121009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16554630	0.0363614659759352	NA	6.54819071506243e-05	0.00045398700220696	0.0506208562067449	0.248118883394582	0.0125750326574041	0.00278585306737305	0.0806230577356169	0.000199161079643127	0.000725836131892885	NA	0.000413987687312719	NA	0.0618143981659218	NA	NA	NA	NA	0.0965207488874342	NA	0.0184012514041535	0.276306703467429	0.000475292120322952	0.0839919817561349	0.0055364064782598	0.00309143530074263	NA	NA	0.000277279846068433	NA	NA	NA	NA	0.0022004845034508	NA	NA	NA	0.000772623842265261	0.000147778147716321	NA	NA	NA	NA	NA	NA	NA	3.77017041170261e-05	NA	0.00145772960128934	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0142226284583742	0.000627769926447213	6.99726918515443e-05	NA	NA	0.000305268922809051	0.00012595084533278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000672991084016942	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16554631	NA	NA	6.08000060800006e-05	NA	0.213699721369972	0.438602643860264	0.0196035019603502	NA	0.121796712179671	NA	NA	NA	NA	NA	0.0762212076221208	NA	NA	NA	NA	0.000192000019200002	NA	NA	NA	0.0399597039959704	0.0107776010777601	0.0121345012134501	0.0345897034589703	NA	NA	0.00146280014628001	NA	NA	NA	NA	0.0174616017461602	NA	NA	NA	0.00889930088993009	0.00117050011705001	NA	NA	NA	NA	NA	NA	NA	0.00185990018599002	NA	NA	NA	0.000454800045480005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000761100076110008	NA	NA	0.000179100017910002	0.000112800011280001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16554632	0.0402875330692836	0.000295850892081838	NA	1.40881377181828e-05	0.115535769548805	0.0638307905215009	0.172013483628536	0.00051357665681739	0.129882034550634	0.000333225207846604	0.0291827040515388	NA	0.00124522837104103	0.0552231712374717	0.047715008849912	0.000277454811425037	NA	NA	NA	0.171242245411633	0.000100014134710074	0.0582331426117731	0.0010781500435568	0.00217283327352667	0.0217235590687671	0.0254495804180009	0.0034449571802115	0.000126793239463645	NA	8.73231676746865e-06	NA	0.00420757951123709	5.02981445806194e-05	0.000444882431579969	0.0069546499353925	NA	NA	0.000686360097923036	0.000666101123022509	0.000448724650957656	NA	7.85908509072178e-05	NA	0.00075761580274558	0.000277454811425037	NA	NA	0.00662177402021659	NA	0.00121239485999535	9.98977038198414e-05	3.63264377526696e-05	0.000162886815435849	4.2613705825247e-05	NA	NA	NA	NA	0.00351912365728987	0.00015496951490001	NA	NA	0.000737356827845053	0.00313513458130171	0.00908184229994786	0.000117245906464546	NA	NA	NA	0.0128396492822152	0.00486739336618703	0.000890929172062268	0.000215513577821126	0.000123533174537123	0.000121320987622698	9.82676713565805e-05	3.67921613136012e-05	5.99619084699514e-05	2.13068529126235e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00121740138827536	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.41795336383978e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16554633	0.0155318809867808	NA	NA	0.000112607124935959	0.35065266035979	0.32022338356094	0.0230603148345948	0.00015958163709248	0.0471599956274192	8.87906082584704e-05	0.00488754433493969	NA	2.38165166774884e-05	NA	0.0663847537416077	NA	NA	NA	NA	0.000727117156628389	NA	0.0674225831503742	NA	0.017375191574792	0.0313829252477466	0.0405523939221127	0.00762282188625934	0.000228397102331121	NA	9.54855737761054e-05	NA	NA	NA	NA	NA	NA	NA	NA	0.000362296412683821	0.000208421959311292	NA	NA	NA	NA	NA	NA	NA	0.00540920287764983	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.47794414950012e-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000140484522337259	0.000140923536469563	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.64630299613975e-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
