feature	Acidaminococcaceae	Eubacteriaceae	Bacteroidales_unclassified	Bacteroidaceae	Clostridia_unclassified	Ruminococcaceae	Odoribacteraceae	Prevotellaceae	Lachnospiraceae	Enterobacteriaceae	Rikenellaceae	Akkermansiaceae	Tannerellaceae	Clostridiaceae	Alphaproteobacteria_unclassified	Sutterellaceae	Veillonellaceae	Lactobacillaceae	FGB1798
SRR16554624	-2.94576672598279	-4.01269949253965	-4.73958645721299	-6.24604846053591	-6.45100310302881	-4.18601448093114	-8.61930658374234	-10.0447392543836	-1.48042551893261	-13.9129764185882	-5.1395340171863	NA	-5.03342837683945	-7.9358281098346	NA	NA	-11.4460268306669	-10.3629815782711	NA
SRR16554625	-4.45614617983064	-9.67081066324719	-2.06264784866512	-2.63692074739458	-3.95574327017176	-2.01636400995982	-6.69554174182408	NA	-4.0707017957029	NA	-3.81146926852362	-5.28127202395063	-6.19748009733848	-5.10936011736763	NA	NA	NA	NA	NA
SRR16554626	-7.24107493188469	-9.68522597112471	-2.86529236417504	-2.66697363290439	-4.34930738714533	-2.04937116962285	-6.76067664906226	NA	-3.1618809925063	NA	-3.2142669552243	-4.48948417359803	-5.44587745546228	-4.51465082805593	-8.44671271097318	-7.72681876521768	NA	NA	NA
SRR16554627	-6.48458503717382	-6.92126059130613	-4.12061556502295	-4.05684055900316	-2.61878060139246	-2.18328544102349	-6.53871281964628	-12.3294446168663	-2.70060264158526	-12.8816320814958	-3.13212853316846	-5.28713477010581	-5.74056467046809	-5.60723979913298	-8.98227923047991	-7.87013354930831	NA	NA	NA
SRR16554628	-6.27904651009653	-10.5972162379329	-3.57223479360771	-1.79840769881694	-4.84613574641253	-2.70401351471607	-6.93502705489026	-17.1265838156711	-3.33237268367823	-10.1802906412234	-3.14681866851416	-9.04615308686068	-4.39858790257919	-6.05409459693421	-5.49980763181318	-6.15417140208552	-13.0377528424635	NA	NA
SRR16554629	NA	NA	-2.8723190371801	-1.10692038653083	NA	-4.56718750397677	-6.15917136663907	NA	-4.82735054214784	NA	-2.82002110413122	-5.26971797170696	-3.13318142831919	NA	NA	NA	NA	NA	NA
SRR16554630	-4.78144582430274	-11.1050613862623	-4.30412428021672	-2.01089655738772	-6.31329404305496	-3.63266368943917	-10.4280685040422	NA	-4.01591327165803	-3.37301708056176	-5.76405230755897	-1.85565753113761	-3.57360458132146	-7.49683441635477	NA	-9.42206115008461	-6.13566807830278	NA	NA
SRR16554631	NA	NA	-2.22634306793045	-1.18901358640391	-5.6727447900497	-3.0374529056998	NA	NA	-3.71366372388857	-12.3466059243335	NA	NA	-6.53582009687563	-6.36474138179423	NA	NA	-10.3596262151569	NA	NA
SRR16554632	-4.63352272227962	-16.1151595570625	-3.1135885197695	-3.96960367460852	-2.53940643692755	-2.94472620572726	-5.09874262108362	-4.17858245148282	-4.38941304959314	-2.5458894367966	-4.10201571237101	-9.85722631618948	-5.52459570402559	-5.29621431869416	NA	-9.68792464378727	-6.78279929910645	NA	NA
SRR16554633	-6.00862363204092	-13.1164142663003	-1.5118854212802	-1.64284943376756	-5.4384439800284	-4.40629260522085	-7.67667449548864	NA	-3.91300424680197	-10.425524542682	-3.89062428765516	NA	-4.99387635551448	-4.62406910646368	NA	NA	-14.4468039399358	NA	NA
SRR16554634	-5.70055100053392	-14.6958059587185	-5.70488344986148	-2.85191651555716	-1.67537886325514	-2.82462554185607	-8.57714354648952	-13.6765697398556	-4.38129114374948	-7.02985011207655	-3.7482352065786	-5.23412051513857	-3.90879361115134	-6.14939052638543	-9.66186566352529	-6.47914146850724	NA	NA	NA
SRR16554635	-8.0582894814861	NA	-3.01360728391785	-2.07502828258958	-4.35618044455177	-2.80350602901767	-5.98409741282634	NA	-3.69454441369386	-7.41205214764073	-2.73947025022985	-4.50864438478591	-6.92257609898444	-4.34787855960197	NA	-5.94815876695511	NA	NA	NA
