feature	Acidaminococcaceae	Eubacteriaceae	Bacteroidales_unclassified	Bacteroidaceae	Clostridia_unclassified	Ruminococcaceae	Odoribacteraceae	Prevotellaceae	Lachnospiraceae	Enterobacteriaceae	Rikenellaceae	Akkermansiaceae	Tannerellaceae	Clostridiaceae	Alphaproteobacteria_unclassified	Sutterellaceae	Veillonellaceae	Lactobacillaceae	FGB1798
SRR16554624	0.129788393025472	0.0619522507598909	0.0374319376975176	0.0131750435367732	0.011430219326974	0.0549394211043623	0.00254290523849657	0.000946743181101799	0.358383092306901	6.48301115748575e-05	0.0283691352035703	NA	0.0305342373780616	0.00408392444236789	NA	NA	0.000358428547902373	0.000759331996491722	NA
SRR16554625	0.0455581767111871	0.00122686254479719	0.239376287423723	0.160771016936278	0.0644469873460384	0.247180354539019	0.0096480845007429	NA	0.0595109188851509	NA	0.071225158214415	0.0257145367891735	0.013626132044539	0.0289687226650195	NA	NA	NA	NA	NA
SRR16554626	0.00661027069733319	0.00121466486080059	0.13723378828544	0.15745662518818	0.0490600533460806	0.241589361324258	0.00922217879070045	NA	0.111732361684435	NA	0.107748003671485	0.0445174827089983	0.0229418023140979	0.0437476451539551	0.00286606548588254	0.00472058454955426	NA	NA	NA
SRR16554627	0.0111672282882004	0.00825074099754652	0.0574871944575669	0.0600854480654059	0.162805280512336	0.220173777258804	0.0107560127474437	0.000194297557184438	0.153828780992365	0.000132508076682769	0.114060523689063	0.0256102514819951	0.0187032828667652	0.020514107526554	0.0019772633760534	0.00427418909343046	NA	NA	NA
SRR16554628	0.0128771174337833	0.000645535368282042	0.0840717670310535	0.287491718052875	0.0347670448051367	0.153465522865613	0.00817238533377909	6.98850931263953e-06	0.099278650577465	0.000861841003297449	0.112905003840299	0.00189163166588253	0.0474125269705736	0.0150499802405535	0.0221000335223011	0.0140413805416906	0.000118917376207011	NA	NA
SRR16554629	NA	NA	0.136567013656701	0.464284046428405	NA	0.0421832042183204	0.0139928013992801	NA	0.0352227035222704	NA	0.141608414160841	0.0259213025921303	0.113977311397731	NA	NA	NA	NA	NA	NA
SRR16554630	0.0363614659759352	0.00045398700220696	0.0506208562067449	0.248118883394582	0.0125750326574041	0.0806230577356169	0.000725836131892885	NA	0.0618143981659218	0.0965207488874342	0.0184012514041535	0.276306703467429	0.0839919817561349	0.0055364064782598	NA	0.00145772960128934	0.0142226284583742	NA	NA
SRR16554631	NA	NA	0.213699721369972	0.438602643860264	0.0196035019603502	0.121796712179671	NA	NA	0.0762212076221208	0.000192000019200002	NA	NA	0.0107776010777601	0.0121345012134501	NA	NA	0.000761100076110008	NA	NA
SRR16554632	0.0402875330692836	1.40881377181828e-05	0.115535769548805	0.0638307905215009	0.172013483628536	0.129882034550634	0.0291827040515388	0.0552231712374717	0.047715008849912	0.171242245411633	0.0582331426117731	0.0010781500435568	0.0217235590687671	0.0254495804180009	NA	0.00121239485999535	0.00908184229994786	NA	NA
SRR16554633	0.0155318809867808	0.000112607124935959	0.35065266035979	0.32022338356094	0.0230603148345948	0.0471599956274192	0.00488754433493969	NA	0.0663847537416077	0.000727117156628389	0.0674225831503742	NA	0.0313829252477466	0.0405523939221127	NA	NA	4.47794414950012e-05	NA	NA
SRR16554634	0.0192292859211154	3.76809285187728e-05	0.0191716265137175	0.138512058529356	0.313083880528696	0.141157183843733	0.00261831874777929	7.63734255883852e-05	0.0479843864394178	0.00765251608710111	0.0744164197807172	0.0265688479878005	0.0665787866488125	0.0140879887614734	0.0012344929702308	0.0112094440039906	NA	NA	NA
SRR16554635	0.00375157084681059	NA	0.123826561238194	0.237330877558159	0.0488268851241347	0.143238773033688	0.0157981845113425	NA	0.0772380518476613	0.00587151228823257	0.149739811627937	0.043930161554307	0.00824322106726895	0.0491086658922194	NA	0.0161966721799251	NA	NA	NA
SRR16554636	0.0201782540226498	NA	NA	0.000617826380119681	0.145551227807699	0.216266346285908	NA	0.108324743768732	0.195634945504602	2.17794910977441e-05	NA	0.02784263473171	NA	0.0728572869954659	NA	0.0606678836512917	0.0037342937644428	NA	NA
SRR16554637	0.00264275750243465	0.000424721288617576	0.0894993244230479	0.0660924386637167	0.0189358275270013	0.0427315980515991	0.000667920484178016	0.669787811626219	0.0125347013456455	0.000259575529673386	0.00170037391211693	NA	0.0473650372072438	0.00692506253313815	NA	0.00898858697120126	0.0160819854582407	NA	NA
SRR16554638	0.0167753778650021	0.116468608568795	NA	0.105182393785515	0.101687119196773	0.154105194034751	2.22372294501509e-05	1.38796130125103e-05	0.169266507225234	0.00832582764654744	0.149505520131035	0.000386241273939534	0.0216113036762319	0.0175195042142535	NA	NA	4.34297568455968e-05	NA	NA
SRR16554639	NA	NA	NA	NA	NA	NA	NA	0.000754068197927821	NA	0.313562122194695	NA	NA	NA	NA	NA	NA	0.395243646289916	0.258612658474287	NA
SRR16554640	0.00962892267671156	0.00112656174050267	0.189190425016194	0.307592529867376	0.0110043747045985	0.099211655996999	0.00962946444921349	0.0135840786497642	0.0835464124583404	0.000212808238756108	0.0947763812327405	0.000465707642654659	0.0275107742297458	0.0502572010775638	NA	0.0151496928258269	0.000881138797130686	0.000495613484760915	NA
SRR16554641	NA	0.00396687855097206	0.304006717318224	0.289875380868859	0.0116336179758281	0.107639756230422	0.0102241203641842	NA	0.0699443349194168	0.00530782061230125	0.000919477397325118	0.0175716093117124	0.0855712855584075	0.0193130778886737	NA	0.0121588728161708	0.00780114882892148	NA	NA
SRR16554642	NA	NA	0.102659976724663	0.701910730830895	0.0192363811787228	0.0699175873747433	NA	NA	0.0322621860018462	NA	NA	NA	NA	0.00491924451357371	NA	NA	0.00827091711802799	0.00075202035732477	NA
SRR16554643	NA	0.000179149584710492	0.019973172408698	0.121941622727025	0.483520362510011	0.0770078856501655	0.0656433346559089	NA	0.0502839131462042	0.000968210272045371	0.0677648056274213	0.0262639428062	0.0167841209738845	0.0109903195495155	NA	NA	0.00121769790187276	NA	NA
SRR16554644	0.00898084506549576	NA	0.163766482749623	0.112766769928392	0.0478658757540202	0.186537638260696	0.00672131004179823	0.144135798467046	0.0298841826215733	0.104587753720232	0.0610194072336683	NA	0.0439460916095249	0.0139313366317177	NA	0.00404161146994217	0.00403367057991717	NA	NA
SRR16554645	0.00473985977846157	NA	0.26202812340972	0.278886304889121	0.0441954048749704	0.247278230856649	0.00280669396565741	NA	0.0886884311517871	NA	0.00532224850167564	NA	0.0063550793613126	0.0144278813574964	NA	0.00743064729194188	NA	NA	NA
SRR16554646	NA	0.000480499855850043	3.3499989950003e-05	0.0676584797024561	0.0104100968769709	0.0349258895222331	NA	0.000404899878530036	0.0259704922088523	0.00911039726688082	0.796879360936192	NA	NA	0.0103264969020509	NA	0.033695689891293	NA	NA	NA
SRR16554647	0.0163713135008419	0.000601483894645504	0.26550847814241	0.27441770531657	0.0351959696530814	0.112364030922195	0.0101846372320235	NA	0.0962850432815922	NA	0.021064400644097	0.0590482257769833	0.0291453357033319	0.0357970274167353	NA	0.0194317862825238	2.46090647649861e-05	NA	NA
SRR16554648	0.0265729026572903	NA	0.470026447002645	0.305694230569423	0.00223460022346002	0.0375506037550604	0.00283420028342003	NA	0.0562815056281506	0.000936400093640009	NA	NA	0.0755646075564608	0.0121519012151901	NA	NA	NA	NA	NA
SRR16554649	0.0524096052409605	0.000433500043350004	0.285044328504433	0.128719912871991	0.00388360038836004	0.0302279030227903	NA	0.282254728225473	0.0713578071357807	0.000641300064130006	0.0163424016342402	NA	0.0522553052255305	0.0174411017441102	NA	NA	0.0135236013523601	NA	NA
SRR16554650	1.29758317166661e-05	0.00165396325153399	0.128246405125499	0.451326858469189	0.0102825498738613	0.0759985357798316	0.0113587471447479	NA	0.078646857503969	0.0660269505748294	0.0397055897606574	9.33349298918089e-05	0.0414517497112308	0.0145312241763875	1.00164315005844e-05	0.00338931000901024	0.00171349272511133	NA	NA
SRR16554651	0.00255291391484325	1.89788396337448e-05	0.0239332267225182	0.107246172968985	0.173407967836846	0.400185082684045	0.017312211531387	0.00685487089319359	0.0325315510209706	0.000862107290760243	0.0654539881431649	0.00211835048405141	0.0371874763576955	0.0264003458828527	NA	0.00238327428661012	NA	NA	NA
SRR16554652	NA	0.00143830141747376	0.0597192093641947	0.0884872260342747	0.0433998194604891	0.359255110481034	0.00979757405003012	0.000292407398938634	0.0495096801388643	0.00812291102066462	0.102340352767842	0.119468119267423	0.0392909549307369	0.0100641332811068	NA	NA	0.00614378639869407	0.00135901713335865	NA
SRR16554653	0.0141456028913904	NA	0.113025703246902	0.157337391425053	0.0952337815571042	0.215164581496438	0.0592811111082549	NA	0.0485405008007362	0.000254281946547323	0.155687489235689	0.0229537526637653	0.0471144448700185	0.0211716197492655	NA	0.00513715338918351	NA	NA	NA
SRR16554654	0.013850795762587	0.00476829326289375	0.0297912939633363	0.0554931309075985	0.0480545840234522	0.238777272783317	0.00461963270508787	0.171425233192168	0.149185919050451	0.000854974345485492	0.0435529638464804	NA	0.0317063848300473	0.0724128395282082	NA	0.0102992645060001	1.96100419854522e-05	NA	NA
SRR16554655	0.00300603777975294	0.0106503911157452	0.264118089738136	0.189879582618013	0.0136965225177959	0.173274673658207	0.0329418301803881	NA	0.131257172423115	NA	0.0590072351770127	0.00161223096533759	0.0762058003172808	0.00719889597414527	NA	0.00127414088037969	0.00561482893367322	5.0547480872206e-05	NA
SRR16554656	0.0129215062282339	0.033158209834078	0.0792094115792469	0.124741328199211	0.0727509187463669	0.224928351982585	0.00294937723456329	NA	0.0867009108933385	0.0051481092747453	0.173181009696606	0.069154637430605	0.0166553749198035	0.0254919154376629	NA	0.00639960960886123	1.13593621138614e-05	NA	NA
SRR16554657	0.0160340475096639	0.00770001809803567	0.112019067904758	0.303434102267823	0.115907361259995	0.199570287665957	0.00357471008339018	5.33660026079733e-06	0.0964549892571916	3.5035940842626e-05	0.0439723100054294	0.0238548351918624	0.0170542662638694	0.0152565280542755	0.00995565981261572	0.00530724895936295	NA	NA	NA
SRR16554658	NA	NA	0.0892921535752921	0.349898809939286	0.00559350335610201	0.219348131608879	0.00978500587100352	3.91000234600141e-05	0.0399062239437344	0.013822808293685	0.0236332141799285	0.022314113388468	0.0191167114700269	0.118079970847983	NA	NA	0.00814950488970293	NA	NA
SRR16554659	0.00516312420769319	0.00032408203899084	0.290773182140227	0.233197521280659	0.0807575278300669	0.176441957398678	0.00842984930021233	NA	0.0532885965313057	NA	0.0688947042699476	NA	0.0136808527522052	0.0147844805254567	NA	0.0162404996962482	0.0102955344008986	NA	NA
SRR16554660	0.00143241812051858	0.000956444757034817	0.0581876073819489	0.0869305647276749	0.170288739454334	0.112302044082058	0.00454532753496366	0.0341580403309732	0.0759974892813988	0.000671433215498576	0.0399606354217142	0.0940566710897296	0.0246009531734624	0.0175845714842613	NA	NA	0.000351118953131208	NA	0.118595060754074
SRR16554661	NA	NA	0.0470546980206957	NA	NA	0.874975636511273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
SRR16554662	0.00331958194149099	0.00270193172252781	0.0442990717234536	0.100300091296619	0.0429351726980591	0.33536165839398	0.0119868963484913	NA	0.10628432393691	NA	0.15523608836608	0.014022901020767	0.0714017476422371	0.0228720127794323	NA	0.00658638400669215	NA	NA	NA
SRR16554663	NA	0.0002081	0.2854191	0.3624124	0.0138382	0.0804329	0.005666	NA	0.0524036	0.000126	0.0552358	0.001579	0.0800576	0.0220373	NA	0.0150119	0.0010485	NA	NA
SRR16554664	0.0550925902732202	6.50166465994568e-05	0.229505533929727	0.437886892187593	0.0201612835889189	0.0591244016715067	NA	0.0179159826837513	0.0405653776337169	0.0171373415427983	0.0353661611733723	0.00276688136632928	0.0257430294974069	0.0213394876487854	NA	NA	0.0073537835179461	0.00451019586821438	NA
SRR16554665	0.0211957243430523	0.00184960767132434	0.0962078968712143	0.5055914351207	0.0096184443696194	0.0219162763493118	NA	NA	0.0629280617349228	0.0358143195617317	0.0488627632508787	0.134642365507052	NA	0.0107613737438512	NA	0.00897562917821616	NA	NA	NA
SRR16554666	0.00323804438916737	0.00195182016893229	0.107829021246918	0.23822599416659	0.0527645520915854	0.189021321244502	0.0196431944889201	NA	0.123302981183567	0.00472470304919253	0.0990791536414218	0.00832843499476306	0.049696096545479	0.0313972250111955	NA	NA	NA	5.20287173744327e-05	NA
SRR16554667	0.000971599410770472	9.54415291172715e-05	0.0370490779616801	0.0692855574557425	0.0795721107776592	0.289191200383903	0.00195341640616664	0.000321389480044535	0.127425471718597	0.00363026137394235	0.109152598813622	0.169266132434062	0.0181187963731754	0.0171812168748519	0.00148259475097134	NA	NA	NA	NA
SRR16554668	NA	NA	0.319145211780748	0.463352119546817	0.000258676168583243	0.00958375990968379	4.00452551833324e-05	NA	0.106601379417467	0.00142858414135085	0.000797466874686262	NA	0.0221257113594636	0.0248755866731009	NA	0.0284459852204694	0.00146994401349727	NA	NA
SRR16554669	0.00649618746254124	0.000190324473254541	0.0270178328036968	0.280233625967023	0.044086662504077	0.180210086961585	0.0543653615453148	NA	0.133339848753059	NA	0.106280375780579	0.00662421224882495	0.0197440767395127	0.0687021037705119	0.00537490014120192	0.0102875837045	NA	NA	NA
SRR16554670	0.00452279707219175	0.000184556390186465	0.1677408808012	0.211798271453566	0.0487604874599456	0.22434232909759	0.0131472864383079	0.00485836335879658	0.0548470984259195	0.00115882359439431	0.165543129389232	0.0045482356520582	0.0255063822964511	0.00943771313045238	NA	0.00113490524838442	0.00050603517638716	NA	NA
SRR16554671	0.0189411701473032	0.000535468973905595	0.0387665359505892	0.136346948345283	0.105625460772057	0.154666631681142	0.0218995277800584	0.0049009006797631	0.0749654447407869	0.0678279744820097	0.234855676246211	0.000893823728819298	0.0547827822125692	0.0148218362152659	NA	0.00586042807046649	0.00603553203249252	NA	NA
SRR16554672	0.00551929944807006	NA	0.319724168027583	0.244318975568102	0.0674301932569807	0.147987285201271	0.00199399980060002	NA	0.0364808963519104	9.07999909200009e-05	0.0637978936202106	0.0103635989636401	0.0107343989265601	0.0103229989677001	NA	0.0124183987581601	0.00874939912506009	NA	NA
SRR16554673	NA	0.000795478927503684	NA	0.417730649909704	0.0016978868003711	0.160727583573823	NA	NA	0.0840306599386934	0.0480517355030554	NA	NA	0.223844430556088	0.012627574128265	NA	NA	0.00444524649536106	NA	NA
SRR16554674	0.00397900039790004	7.30000073000007e-06	0.414968641496864	0.0253913025391303	0.00501180050118005	0.102311910231191	NA	NA	0.097641209764121	0.0565958056595806	0.209333320933332	0.00399760039976004	NA	0.0338955033895503	NA	NA	0.00666740066674007	NA	NA
SRR16554675	0.00231191061947661	4.91478475669183e-05	0.0396503357799531	0.201404988279374	0.00887562631239466	0.27054609763509	0.00664311631220158	NA	0.164790667856265	0.0237067120781765	0.0889707170722586	0.0423865079659265	0.0148375906279598	0.0422987439524141	0.0424360688206158	0.00934779670509113	NA	NA	NA
SRR16554678	0.00254356092589837	0.00143855539421405	0.0413790264215118	0.0564006498128915	0.0344228168997641	0.222625740975848	0.00187717807189746	0.394544836546742	0.0630712374228813	NA	0.0358473421032608	NA	0.0104846488719471	0.0690427733406304	0.0104349799486044	0.00450778762633444	NA	NA	NA
SRR16554679	0.00253376127797581	3.88163163651478e-05	0.0956351157156354	0.405286614434592	0.0105814327501024	0.118410746706331	0.00324420477642116	0.0305946009231569	0.0764413914537382	NA	0.0608861198517762	0.00106870760759935	0.00966159096121159	0.144708801043718	NA	0.00658943688435486	NA	NA	NA
